MOVIE_ID,NAME,GENRE,DURATION,LANGUAGE,PRICES,PG_RATING
101,MINIONS,COMEDY,100_MINS,ENGLISH,80.0,13.0
102,MINIONS,COMEDY,100_MINS,ARABIC,80.0,13.0
103,THOR:_LOVE&THUNDER,ACTION,119_MINS,ENGLISH,100.0,15.0
104,THOR:_LOVE&THUNDER,ACTION,119_MINS,ARABIC,100.0,15.0
105,ROCKETRY,SCI-FI,158_MINS,HINDI,70.0,13.0
106,HARRY_POTTER,FANTASY,82_MINS,ENGLISH,120.0,15.0
107,LOVE_IN_GREECE,ROMANCE,118_MINS,ARABIC,90.0,18.0
108,IT:_CHAPTER_3,HORROR,180_MINS,ENGLISH,100.0,17.0
109,BHAVANS_QATAR,DOCUMENTARY,100_MINS,ENGLISH,50.0,
110,CBI_5,THRILLER,184_MINS,MALAYALAM,95.0,15.0
111,HEARTSTOPPER,LGBTQ+,180_MINS,ENGLISH,100.0,21.0
112,HOME_ALONE,FAMILY,90_MINS,ARABIC,75.0,
113,THE_DRY,CRIME,100_MINS,TURKISH,75.0,15.0
114,BLACKPINK:_LIGHT_UP_THE_SKY,DOCUMENTARY,79_MINS,KOREAN,100.0,13.0
115,3_IDIOTS,COMEDY,171_MINS,HINDI,100.0,13.0
116,ANEK,POLITICAL,147_MINS,HINDI,80.0,15.0
117,BUBBLE,ANIME,100_MINS,JAPANESE,70.0,
118,SHAKUNTALA_DEVI,BIOGRAPHY,127_MINS,HINDI,80.0,
119,ANTARIKSHAM_9000KMPH,SCI-FI,140_MINS,TELUGU,100.0,
120,FROZEN_3,DISNEY,100_MINS,ENGLISH,120.0,15.0
121,LALALAND,COMEDY,130,ENGLISH,13.0,45
